2023-09-20 09:18:24,932 - INFO - Successfully crawled https://vapetravellers.eu/sv/kategori-produktkategorier/e-vatskor-koncentrat-med-lag-smak-smakskott-fardiga-vapingvatskor/koncentrerade-dofter-smakskott/bolt-sv/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: BOLT - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 154084, Images: 39, Links: 153, Duration: 2.80 seconds
2023-09-20 09:18:26,862 - INFO - Successfully crawled https://vapetravellers.eu/sv/kategori-produktkategorier/e-vatskor-koncentrat-med-lag-smak-smakskott-fardiga-vapingvatskor/koncentrerade-dofter-smakskott/bolt-sv/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: BOLT - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 154063, Images: 39, Links: 153, Duration: 2.78 seconds
2023-09-20 09:18:29,223 - INFO - Successfully crawled https://vapetravellers.eu/pt-pt/ετικέτα-προϊόντος/limonada-de-framboesa/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: limonada de framboesa - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115726, Images: 30, Links: 117, Duration: 3.13 seconds
2023-09-20 09:18:30,929 - INFO - Successfully crawled https://vapetravellers.eu/pt-pt/ετικέτα-προϊόντος/limonada-de-framboesa/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: limonada de framboesa - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115726, Images: 30, Links: 117, Duration: 2.83 seconds
2023-09-20 09:18:32,777 - INFO - Successfully crawled https://vapetravellers.eu/pt-pt/ετικέτα-προϊόντος/limonada-de-framboesa/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: limonada de framboesa - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115757, Images: 30, Links: 117, Duration: 2.68 seconds
2023-09-20 09:18:34,302 - INFO - Successfully crawled https://vapetravellers.eu/lt/ετικέτα-προϊόντος/sluoksniuota-tesla/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: sluoksniuota tešla - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115676, Images: 30, Links: 119, Duration: 0.18 seconds
2023-09-20 09:18:34,895 - INFO - Successfully crawled https://vapetravellers.eu/pt-pt/ετικέτα-προϊόντος/limonada-de-framboesa/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: limonada de framboesa - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115736, Images: 30, Links: 117, Duration: 2.78 seconds
2023-09-20 09:18:36,331 - INFO - Successfully crawled https://vapetravellers.eu/lt/ετικέτα-προϊόντος/sluoksniuota-tesla/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: sluoksniuota tešla - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115676, Images: 30, Links: 119, Duration: 0.19 seconds
2023-09-20 09:18:41,047 - INFO - Successfully crawled https://vapetravellers.eu/lt/ετικέτα-προϊόντος/sluoksniuota-tesla/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: sluoksniuota tešla - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115638, Images: 30, Links: 119, Duration: 2.90 seconds
2023-09-20 09:18:42,829 - INFO - Successfully crawled https://vapetravellers.eu/lt/ετικέτα-προϊόντος/sluoksniuota-tesla/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: sluoksniuota tešla - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 115617, Images: 30, Links: 119, Duration: 2.68 seconds
2023-09-20 09:18:47,338 - INFO - Successfully crawled https://vapetravellers.eu/fi/προϊόν/voopoo-argus-pro-kit/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Voopoo Argus Pro -sarja - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 588617, Images: 174, Links: 491, Duration: 5.13 seconds
2023-09-20 09:18:49,243 - INFO - Successfully crawled https://vapetravellers.eu/fi/προϊόν/voopoo-argus-pro-kit/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Voopoo Argus Pro -sarja - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 554236, Images: 164, Links: 484, Duration: 4.97 seconds
2023-09-20 09:18:50,911 - INFO - Successfully crawled https://vapetravellers.eu/fi/προϊόν/voopoo-argus-pro-kit/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Voopoo Argus Pro -sarja - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 532074, Images: 160, Links: 476, Duration: 4.69 seconds
2023-09-20 09:18:52,637 - INFO - Successfully crawled https://vapetravellers.eu/fi/προϊόν/voopoo-argus-pro-kit/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Voopoo Argus Pro -sarja - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 565897, Images: 168, Links: 482, Duration: 4.41 seconds
2023-09-20 09:18:53,105 - INFO - Successfully crawled https://vapetravellers.eu/cs/προϊόν/elf-bar-eb-600v2-20mg-2ml-strawberry-raspberry-cherry-ice-ice/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Elf Bar EB 600V2 20mg 2ml Strawberry Raspberry Cherry Ice - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 142026, Images: 33, Links: 140, Duration: 2.92 seconds
2023-09-20 09:18:54,952 - INFO - Successfully crawled https://vapetravellers.eu/cs/προϊόν/elf-bar-eb-600v2-20mg-2ml-strawberry-raspberry-cherry-ice-ice/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Elf Bar EB 600V2 20mg 2ml Strawberry Raspberry Cherry Ice - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 142026, Images: 33, Links: 140, Duration: 2.76 seconds
2023-09-20 09:18:57,256 - INFO - Successfully crawled https://vapetravellers.eu/cs/προϊόν/elf-bar-eb-600v2-20mg-2ml-strawberry-raspberry-cherry-ice-ice/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Elf Bar EB 600V2 20mg 2ml Strawberry Raspberry Cherry Ice - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 142057, Images: 33, Links: 140, Duration: 3.05 seconds
2023-09-20 09:18:59,105 - INFO - Successfully crawled https://vapetravellers.eu/cs/προϊόν/elf-bar-eb-600v2-20mg-2ml-strawberry-raspberry-cherry-ice-ice/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Elf Bar EB 600V2 20mg 2ml Strawberry Raspberry Cherry Ice - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 142036, Images: 33, Links: 140, Duration: 2.89 seconds
2023-09-20 09:19:01,129 - INFO - Successfully crawled https://vapetravellers.eu/es/ετικέτα-προϊόντος/soltar/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Soltar - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 157896, Images: 45, Links: 171, Duration: 2.90 seconds
2023-09-20 09:19:02,983 - INFO - Successfully crawled https://vapetravellers.eu/es/ετικέτα-προϊόντος/soltar/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Soltar - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 157896, Images: 45, Links: 171, Duration: 2.74 seconds
2023-09-20 09:19:04,852 - INFO - Successfully crawled https://vapetravellers.eu/es/ετικέτα-προϊόντος/soltar/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Soltar - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 157927, Images: 45, Links: 171, Duration: 2.60 seconds
